block_no,lot_no,capacity,lat_long1,lat_long2,lat_long3,lat_long4
Map Family F-4,38,1,"14.111628871573773, 121.55064148130784","14.111623669040243, 121.55064684572613","14.111634724423858, 121.55066495063792","14.111643178540394, 121.55065690401047"
Map Family F-4,39,1,"14.111611963339362, 121.55065891566731","14.111602208588153, 121.55066293898106","14.111613914289544, 121.55068238499744","14.111622368406831, 121.55067567947452"
Map Family F-4,40,1,"14.111587901618975, 121.55067567947452","14.11157879718357, 121.55068506720657","14.11159310415332, 121.5507011604615","14.111600257637859, 121.55069579604319"
Map Family F-4,41,1,"14.111569042430961, 121.55069445493862","14.11156123862856, 121.5507011604615","14.111579447500402, 121.55071792426872","14.111586600985374, 121.55071323040272"
Map Family F-4,42,1,"14.111544980706045, 121.55071054819355","14.111537827219765, 121.55072328868701","14.111550183241384, 121.55073804083737","14.111559937994805, 121.55073066476218"
Map Family F-4,43,1,"14.111565140529787, 121.55073535862823","14.111556036093477, 121.5507413935988","14.111570343064665, 121.5507601690629","14.111580748134054, 121.55075212243541"
Map Family F-4,44,0,"14.111589852569372, 121.550718594821","14.111574895282583, 121.5507313353145","14.111585300351758, 121.55074608746484","14.111597656370781, 121.5507313353145"
Map Family F-4,45,0,"14.111610012389143, 121.55069311383406","14.11159570542046, 121.55070250156608","14.11160611048868, 121.55072127703016","14.111618466506584, 121.55071255985041"
Map Family F-4,46,1,"14.111626270307026, 121.55067903223598","14.111619116823302, 121.55068372610201","14.11163667537386, 121.55070451322294","14.111643828857037, 121.55069847825236"
Map Family F-4,47,1,"14.111647080440207, 121.55065958621962","14.111638626323838, 121.5506662917425","14.111655534556274, 121.55068909052031","14.111665289305195, 121.5506783616837"
Map Family F-4,48,1,"14.111668540888072, 121.55064215186013","14.111662688038868, 121.5506481868307","14.1116737434206, 121.55066495063792","14.111682847852203, 121.55066025677192"
Map Family F-4,49,1,"14.111688700700897, 121.55062404694831","14.11168219753566, 121.55062672915747","14.111699105764881, 121.55064751627843","14.111708210195465, 121.55064014020326"
,,,,,,
Map Family F-5,1,1,"14.111303712997943, 121.55074876966574","14.111295258868838, 121.55075614574089","14.111309565856388, 121.55077223899583","14.111314768397094, 121.55076620402524"
Map Family F-5,2,1,"14.111322572207918, 121.55073066475391","14.111316719349832, 121.55073737027683","14.111330376018488, 121.55075279297945","14.111337529511282, 121.55074541690428"
Map Family F-5,3,1,"14.111344032686354, 121.55071188928986","14.111356388718455, 121.55070116045326","14.111366793797615, 121.5507152420513","14.111375247924077, 121.55070786597614"
Map Family F-5,4,1,"14.111379800145889, 121.55067232670483","14.111355088083544, 121.55070183100553","14.111369395067328, 121.5507152420513","14.111377849193698, 121.55070987763301"
Map Family F-5,5,1,"14.111377198876294, 121.55067165615256","14.111370045384756, 121.55067970278002","14.111403861888233, 121.55067702057086","14.111413616647928, 121.55067366780942"
Map Family F-5,6,1,"14.111400610301576, 121.55065422179304","14.111394107128135, 121.55065958621135","14.111405812840209, 121.55067836167542","14.111412966330626, 121.55067165615256"
Map Family F-5,7,1,"14.111419469503534, 121.55063410522438","14.111413616647928, 121.55063879909042","14.111424021724467, 121.55066025676365","14.111433776483295, 121.55065288068847"
Map Family F-5,8,1,"14.111446782827741, 121.55065757455448","14.111433776483295, 121.55066025676365","14.111442230607278, 121.55068171443686","14.111454586634062, 121.55067232670483"
Map Family F-5,9,0,"14.111424021724467, 121.55067567946627","14.111406463157538, 121.5506850671983","14.111419469503534, 121.55069981934865","14.111427273310795, 121.55069244327348"
Map Family F-5,10,1,"14.111400610301576, 121.55069445493035","14.111392806493424, 121.55070116045326","14.111402561253575, 121.55071725370817","14.111411015378714, 121.55071188928986"
Map Family F-5,11,1,"14.111380450463281, 121.55071323039442","14.111374597606671, 121.55072060646962","14.111386303319751, 121.55074005248596","14.111394757445488, 121.55073334696309"
Map Family F-5,12,1,"14.11136289189298, 121.55073200585852","14.111353787448591, 121.5507393819337","14.111366793797615, 121.55075346353175","14.111374597606671, 121.55074541690428"
Map Family F-5,13,1,"14.111341431416351, 121.55075011077031","14.111331026336044, 121.55075547518862","14.111344683003848, 121.55077223899583","14.111349885543753, 121.55076821568208"
Map Family F-5,14,1,"14.111322572207918, 121.55076955678668","14.111311516809163, 121.55077626230955","14.111318670302543, 121.5507923555645","14.111332977288617, 121.55078699114618"
Map Family F-5,15,1,"14.11134078109883, 121.55079168501219","14.111332977288617, 121.5507970494305","14.111345333321342, 121.55081582489457","14.111355088083544, 121.55080978992397"
Map Family F-5,16,1,"14.11135964030575, 121.55076955678668","14.111351836496185, 121.55077760341413","14.111362241575538, 121.55079570832592","14.111371996337011, 121.55078967335533"
Map Family F-5,17,1,"14.111383702050219, 121.55075547518862","14.111375247924077, 121.55076419236836","14.11138500268499, 121.55077693286184","14.111391505858691, 121.55077022733896"
Map Family F-5,18,1,"14.111400610301576, 121.55073602917223","14.111392156176068, 121.55074541690428","14.111405812840209, 121.55076151015922","14.11141426696522, 121.55074944021801"
